d_min,d_max,b,h,b_fine,h_fine,L_min,L_max,screw,t_shaft,t_shaft_min,t_shaft_max,t_fine_shaft,T_hub,T_hub_min,T_hub_max,T_fine_hub,c_min,c_max,r_min
6,8,2,2,,,6,20,,1.2,1.1,1.2,,1.0,1.0,1.1,,0.16,0.25,0.08
8,10,3,3,,,6,36,,1.8,1.7,1.8,,1.4,1.4,1.5,,0.16,0.25,0.08
10,12,4,4,,,8,45,,2.5,2.4,2.5,,1.8,1.8,1.9,,0.16,0.25,0.08
12,17,5,5,5,3,10,56,,3.0,2.9,3.0,1.88,2.3,2.3,2.4,1.4,0.25,0.4,0.16
17,22,6,6,6,4,14,70,M2.5x6,3.5,3.3,3.5,2.5,2.8,2.8,2.9,1.8,0.25,0.4,0.16
22,30,8,7,8,5,18,90,M3x8,4.0,3.8,4.0,3.0,3.3,3.3,3.5,2.3,0.25,0.4,0.16
30,38,10,8,10,6,22,110,M4x10,5.0,4.8,5.0,3.5,3.3,3.3,3.5,2.8,0.4,0.6,0.25
38,44,12,8,12,6,28,140,M5x10,5.0,4.8,5.0,3.5,3.3,3.3,3.5,2.8,0.4,0.6,0.25
44,50,14,9,14,6,36,160,M6x10,5.5,5.3,5.5,3.5,3.8,3.8,4.0,2.8,0.4,0.6,0.25
50,58,16,10,16,7,45,180,M6x10,6.0,5.8,6.0,4.0,4.3,4.3,4.5,3.3,0.6,0.8,0.4
58,65,18,11,18,7,50,200,M8x10,7.0,6.8,7.0,5.0,4.4,4.4,4.6,3.3,0.6,0.8,0.4
65,75,20,12,20,8,56,220,M8x10,7.5,7.3,7.5,5.5,4.9,4.9,5.1,3.3,0.6,0.8,0.4
