d_min,d_max,b,h,D,ht,c_min,c_max,t_shaft,t_shaft_min,t_shaft_max,T_hub,T_hub_min,T_hub_max,r_max,r_min
3,4,1.0,1.4,4,1.1,0.16,0.25,1.0,1.0,1.1,0.6,0.6,0.7,0.16,0.08
4,5,1.5,2.6,7,2.1,0.16,0.25,2.0,2.0,2.1,0.8,0.8,0.9,0.16,0.08
5,6,2.0,2.6,7,2.1,0.16,0.25,1.8,1.8,1.9,1.0,1.0,1.1,0.16,0.08
6,7,2.0,3.7,10,3.0,0.16,0.25,2.9,2.9,3.0,1.0,1.0,1.1,0.16,0.08
7,8,2.5,3.7,10,3.0,0.16,0.25,2.7,2.7,2.8,1.2,1.2,1.3,0.16,0.08
8,10,3.0,5.0,13,4.0,0.16,0.25,3.8,3.8,4.0,1.4,1.4,1.5,0.16,0.08
10,12,3.0,6.5,16,5.2,0.16,0.25,5.3,5.3,5.5,1.4,1.4,1.5,0.25,0.16
12,14,4.0,6.5,16,5.2,0.25,0.4,5.0,5.0,5.2,1.8,1.8,1.9,0.25,0.16
14,16,4.0,7.5,19,6.0,0.25,0.4,6.0,6.0,6.2,1.8,1.8,1.9,0.25,0.16
16,18,5.0,6.5,16,5.2,0.25,0.4,4.5,4.5,4.7,2.3,2.3,2.5,0.25,0.16
18,20,5.0,7.5,19,6.0,0.25,0.4,5.5,5.5,5.7,2.3,2.3,2.5,0.25,0.16
20,22,5.0,9.0,22,7.2,0.25,0.4,7.0,7.0,7.3,2.3,2.3,2.5,0.25,0.16
22,25,6.0,9.0,22,7.2,0.25,0.4,6.5,6.5,6.8,2.8,2.8,2.9,0.25,0.16
25,28,6.0,10.0,25,8.0,0.25,0.4,7.5,7.5,7.8,2.8,2.8,3.0,0.25,0.16
