================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_C14_H501
Element  : C14_shaft
Script   : full_pipeline.py
Date     : 2026-05-29 14:47:40
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
  ----------------------------------------------------------------------------
    200.20     20.00   1.000   1.000     563.810     220.532    0.426     0.466    1.020      ✗
    200.60     20.00   1.000   1.000     562.303     220.532    0.427     0.467    1.022      ✗
    201.00     20.00   1.000   1.000     560.796     220.532    0.428     0.468    1.024      ✗
    201.40     20.00   1.000   1.000     559.289     220.532    0.429     0.470    1.026      ✗
    201.80     20.00   1.000   1.000     557.782     220.532    0.430     0.471    1.028      ✗
    202.20     20.00   1.000   1.000     556.275     220.532    0.431     0.472    1.030      ✗
    202.60     20.00   1.000   1.000     554.768     220.532    0.432     0.473    1.032      ✗
    203.00     20.00   1.000   1.000     553.261     220.532    0.433     0.475    1.034      ✗
    203.40     20.00   1.000   1.000     551.754     220.532    0.434     0.476    1.036      ✗
    203.80     20.00   1.000   1.000     550.247     220.532    0.435     0.477    1.038      ✗
    204.20     20.00   1.000   1.000     548.740     220.532    0.436     0.478    1.040      ✗
    204.60     20.00   1.000   1.000     547.233     220.532    0.437     0.480    1.042      ✗
    205.01     20.00   1.000   1.000     545.726     220.532    0.438     0.481    1.044      ✗
    205.41     20.00   1.000   1.000     544.219     220.532    0.439     0.482    1.046      ✗
    205.81     20.00   1.000   1.000     542.712     220.532    0.441     0.484    1.048      ✗
    206.21     20.00   1.000   1.000     541.205     220.532    0.442     0.485    1.050      ✗
    206.61     20.00   1.000   1.000     539.698     220.532    0.443     0.486    1.052      ✗
    207.01     20.00   1.000   1.000     538.191     220.532    0.444     0.488    1.054      ✗
    207.41     20.00   1.000   1.000     536.684     220.532    0.445     0.489    1.057      ✗
    207.81     20.00   1.000   1.000     535.177     220.532    0.446     0.490    1.059      ✗
    208.21     20.00   1.000   1.000     533.670     220.532    0.447     0.492    1.061      ✗
    208.61     20.00   1.000   1.000     532.163     220.532    0.448     0.493    1.063      ✗
    209.01     20.00   1.000   1.000     530.656     220.532    0.450     0.494    1.065      ✗
    209.41     20.00   1.000   1.000     529.149     220.532    0.451     0.496    1.067      ✗
    209.81     20.00   1.000   1.000     527.642     220.532    0.452     0.497    1.069      ✗
    210.21     20.00   1.000   1.000     526.135     220.532    0.453     0.499    1.071      ✗
    210.61     20.00   1.000   1.000     524.628     220.532    0.454     0.500    1.074      ✗
    211.01     20.00   1.000   1.000     523.121     220.532    0.455     0.501    1.076      ✗
    211.41     20.00   1.000   1.000     521.614     220.532    0.457     0.503    1.078      ✗
    211.81     20.00   1.000   1.000     520.107     220.532    0.458     0.504    1.080      ✗
    212.21     20.00   1.000   1.000     518.600     220.532    0.459     0.506    1.082      ✗
    212.61     20.00   1.000   1.000     517.093     220.532    0.460     0.507    1.085      ✗
    213.01     20.00   1.000   1.000     515.586     220.532    0.461     0.509    1.087      ✗
    213.41     20.00   1.000   1.000     514.079     220.532    0.463     0.510    1.089      ✗
    213.81     20.00   1.000   1.000     512.572     220.532    0.464     0.512    1.091      ✗
    214.21     20.00   1.000   1.000     511.065     220.532    0.465     0.513    1.093      ✗
    300.30     15.00   1.000   1.000     443.396     522.741    0.466     0.571    0.828      ✗
