================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_C14_H501
Element  : H501_shaft
Script   : full_pipeline.py
Date     : 2026-05-29 14:47:40
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
  ----------------------------------------------------------------------------
    200.20     20.00   1.000   1.000     281.253     110.266    0.853     0.934    2.043      ✗
    200.60     20.00   1.000   1.000     280.501     110.266    0.855     0.936    2.047      ✗
    201.00     20.00   1.000   1.000     279.750     110.266    0.857     0.939    2.051      ✗
    201.40     20.00   1.000   1.000     278.998     110.266    0.859     0.941    2.055      ✗
    201.80     20.00   1.000   1.000     278.246     110.266    0.861     0.944    2.059      ✗
    202.20     20.00   1.000   1.000     277.494     110.266    0.864     0.946    2.063      ✗
    202.60     20.00   1.000   1.000     276.743     110.266    0.866     0.949    2.067      ✗
    203.00     20.00   1.000   1.000     275.991     110.266    0.868     0.951    2.071      ✗
    203.40     20.00   1.000   1.000     275.239     110.266    0.870     0.954    2.075      ✗
    203.80     20.00   1.000   1.000     274.487     110.266    0.872     0.956    2.079      ✗
    204.20     20.00   1.000   1.000     273.736     110.266    0.874     0.959    2.083      ✗
    204.60     20.00   1.000   1.000     272.984     110.266    0.876     0.962    2.087      ✗
    205.01     20.00   1.000   1.000     272.232     110.266    0.879     0.964    2.092      ✗
    205.41     20.00   1.000   1.000     271.480     110.266    0.881     0.967    2.096      ✗
    205.81     20.00   1.000   1.000     270.728     110.266    0.883     0.969    2.100      ✗
    206.21     20.00   1.000   1.000     269.977     110.266    0.885     0.972    2.104      ✗
    206.61     20.00   1.000   1.000     269.225     110.266    0.887     0.975    2.108      ✗
    207.01     20.00   1.000   1.000     268.473     110.266    0.890     0.977    2.112      ✗
    207.41     20.00   1.000   1.000     267.721     110.266    0.892     0.980    2.116      ✗
    207.81     20.00   1.000   1.000     266.970     110.266    0.894     0.983    2.121      ✗
    208.21     20.00   1.000   1.000     266.218     110.266    0.896     0.986    2.125      ✗
    208.61     20.00   1.000   1.000     265.466     110.266    0.899     0.988    2.129      ✗
    209.01     20.00   1.000   1.000     264.714     110.266    0.901     0.991    2.133      ✗
    209.41     20.00   1.000   1.000     263.963     110.266    0.903     0.994    2.138      ✗
    209.81     20.00   1.000   1.000     263.211     110.266    0.906     0.997    2.142      ✗
    210.21     20.00   1.000   1.000     262.459     110.266    0.908     0.999    2.146      ✗
    210.61     20.00   1.000   1.000     261.707     110.266    0.910     1.002    2.151      ✗
    211.01     20.00   1.000   1.000     260.956     110.266    0.913     1.005    2.155      ✗
    211.41     20.00   1.000   1.000     260.204     110.266    0.915     1.008    2.159      ✗
    211.81     20.00   1.000   1.000     259.452     110.266    0.917     1.011    2.164      ✗
    212.21     20.00   1.000   1.000     258.700     110.266    0.920     1.014    2.168      ✗
    212.61     20.00   1.000   1.000     257.949     110.266    0.922     1.017    2.173      ✗
    213.01     20.00   1.000   1.000     257.197     110.266    0.925     1.019    2.177      ✗
    213.41     20.00   1.000   1.000     256.445     110.266    0.927     1.022    2.182      ✗
    213.81     20.00   1.000   1.000     255.693     110.266    0.930     1.025    2.186      ✗
    214.21     20.00   1.000   1.000     254.941     110.266    0.932     1.028    2.191      ✗
    300.30     15.00   1.000   1.000     221.185     261.371    0.934     1.145    1.658      ✗
    214.61     20.00   1.000   1.000     254.190     110.266    0.935     1.031    2.195      ✗
    215.02     20.00   1.000   1.000     253.438     110.266    0.937     1.034    2.200      ✗
    300.70     15.00   1.000   1.000     219.403     261.371    0.939     1.153    1.664      ✗
    215.42     20.00   1.000   1.000     252.686     110.266    0.940     1.037    2.204      ✗
    199.80     20.00   1.000   1.000     281.253       0.000    0.942     0.942    2.844      ✗
    215.82     20.00   1.000   1.000     251.934     110.266    0.942     1.040    2.209      ✗
    199.40     20.00   1.000   1.000     280.501       0.000    0.944     0.944    2.852      ✗
    216.22     20.00   1.000   1.000     251.183     110.266    0.945     1.043    2.213      ✗
    301.10     15.00   1.000   1.000     217.621     261.371    0.945     1.161    1.670      ✗
    199.00     20.00   1.000   1.000     279.750       0.000    0.947     0.947    2.860      ✗
    216.62     20.00   1.000   1.000     250.431     110.266    0.947     1.046    2.218      ✗
    198.60     20.00   1.000   1.000     278.998       0.000    0.949     0.949    2.867      ✗
    217.02     20.00   1.000   1.000     249.679     110.266    0.950     1.050    2.223      ✗
    301.50     15.00   1.000   1.000     215.839     261.371    0.951     1.169    1.676      ✗
    198.20     20.00   1.000   1.000     278.246       0.000    0.952     0.952    2.875      ✗
    217.42     20.00   1.000   1.000     248.927     110.266    0.952     1.053    2.227      ✗
    197.80     20.00   1.000   1.000     277.494       0.000    0.954     0.954    2.883      ✗
    217.82     20.00   1.000   1.000     248.176     110.266    0.955     1.056    2.232      ✗
    301.90     15.00   1.000   1.000     214.057     261.371    0.957     1.178    1.683      ✗
    197.40     20.00   1.000   1.000     276.743       0.000    0.957     0.957    2.891      ✗
    218.22     20.00   1.000   1.000     247.424     110.266    0.957     1.059    2.237      ✗
    197.00     20.00   1.000   1.000     275.991       0.000    0.960     0.960    2.899      ✗
    218.62     20.00   1.000   1.000     246.672     110.266    0.960     1.062    2.241      ✗
    196.60     20.00   1.000   1.000     275.239       0.000    0.962     0.962    2.907      ✗
    219.02     20.00   1.000   1.000     245.920     110.266    0.963     1.065    2.246      ✗
    302.30     15.00   1.000   1.000     212.275     261.371    0.963     1.186    1.689      ✗
    196.20     20.00   1.000   1.000     274.487       0.000    0.965     0.965    2.915      ✗
    219.42     20.00   1.000   1.000     245.169     110.266    0.965     1.068    2.251      ✗
    195.80     20.00   1.000   1.000     273.736       0.000    0.968     0.968    2.923      ✗
    219.82     20.00   1.000   1.000     244.417     110.266    0.968     1.072    2.256      ✗
    302.70     15.00   1.000   1.000     210.494     261.371    0.969     1.195    1.695      ✗
    195.40     20.00   1.000   1.000     272.984       0.000    0.970     0.970    2.931      ✗
    220.22     20.00   1.000   1.000     243.665     110.266    0.971     1.075    2.260      ✗
    194.99     20.00   1.000   1.000     272.232       0.000    0.973     0.973    2.939      ✗
    220.62     20.00   1.000   1.000     242.913     110.266    0.973     1.078    2.265      ✗
    303.10     15.00   1.000   1.000     208.712     261.371    0.975     1.203    1.702      ✗
    194.59     20.00   1.000   1.000     271.480       0.000    0.976     0.976    2.947      ✗
    221.02     20.00   1.000   1.000     242.161     110.266    0.976     1.081    2.270      ✗
    194.19     20.00   1.000   1.000     270.728       0.000    0.978     0.978    2.955      ✗
    221.42     20.00   1.000   1.000     241.410     110.266    0.979     1.085    2.275      ✗
    193.79     20.00   1.000   1.000     269.977       0.000    0.981     0.981    2.963      ✗
    303.50     15.00   1.000   1.000     206.930     261.371    0.981     1.212    1.708      ✗
    221.82     20.00   1.000   1.000     240.658     110.266    0.981     1.088    2.280      ✗
    193.39     20.00   1.000   1.000     269.225       0.000    0.984     0.984    2.971      ✗
    222.22     20.00   1.000   1.000     239.906     110.266    0.984     1.091    2.285      ✗
    192.99     20.00   1.000   1.000     268.473       0.000    0.986     0.986    2.980      ✗
    222.62     20.00   1.000   1.000     239.154     110.266    0.987     1.095    2.290      ✗
    303.90     15.00   1.000   1.000     205.148     261.371    0.988     1.221    1.715      ✗
    192.59     20.00   1.000   1.000     267.721       0.000    0.989     0.989    2.988      ✗
    223.02     20.00   1.000   1.000     238.403     110.266    0.990     1.098    2.294      ✗
    192.19     20.00   1.000   1.000     266.970       0.000    0.992     0.992    2.997      ✗
    223.42     20.00   1.000   1.000     237.651     110.266    0.992     1.101    2.299      ✗
    304.30     15.00   1.000   1.000     203.366     261.371    0.994     1.230    1.721      ✗
    191.79     20.00   1.000   1.000     266.218       0.000    0.995     0.995    3.005      ✗
    223.82     20.00   1.000   1.000     236.899     110.266    0.995     1.105    2.304      ✗
    191.39     20.00   1.000   1.000     265.466       0.000    0.998     0.998    3.014      ✗
    224.22     20.00   1.000   1.000     236.147     110.266    0.998     1.108    2.309      ✗
    190.99     20.00   1.000   1.000     264.714       0.000    1.000     1.000    3.022      ✓
    304.70     15.00   1.000   1.000     201.584     261.371    1.001     1.239    1.728      ✓
    224.62     20.00   1.000   1.000     235.396     110.266    1.001     1.112    2.314      ✓
    190.59     20.00   1.000   1.000     263.963       0.000    1.003     1.003    3.031      ✓
    225.03     20.00   1.000   1.000     234.644     110.266    1.004     1.115    2.319      ✓
    190.19     20.00   1.000   1.000     263.211       0.000    1.006     1.006    3.039      ✓
    225.43     20.00   1.000   1.000     233.892     110.266    1.007     1.119    2.325      ✓
    305.11     15.00   1.000   1.000     199.802     261.371    1.007     1.248    1.735      ✓
    189.79     20.00   1.000   1.000     262.459       0.000    1.009     1.009    3.048      ✓
    225.83     20.00   1.000   1.000     233.140     110.266    1.010     1.122    2.330      ✓
    189.39     20.00   1.000   1.000     261.707       0.000    1.012     1.012    3.057      ✓
    226.23     20.00   1.000   1.000     232.389     110.266    1.012     1.126    2.335      ✓
    305.51     15.00   1.000   1.000     198.020     261.371    1.014     1.257    1.741      ✓
    188.99     20.00   1.000   1.000     260.956       0.000    1.015     1.015    3.066      ✓
    226.63     20.00   1.000   1.000     231.637     110.266    1.015     1.129    2.340      ✓
    188.59     20.00   1.000   1.000     260.204       0.000    1.018     1.018    3.075      ✓
    227.03     20.00   1.000   1.000     230.885     110.266    1.018     1.133    2.345      ✓
    305.91     15.00   1.000   1.000     196.238     261.371    1.021     1.267    1.748      ✓
    188.19     20.00   1.000   1.000     259.452       0.000    1.021     1.021    3.083      ✓
    227.43     20.00   1.000   1.000     230.133     110.266    1.021     1.137    2.350      ✓
    187.79     20.00   1.000   1.000     258.700       0.000    1.024     1.024    3.092      ✓
    227.83     20.00   1.000   1.000     229.382     110.266    1.024     1.140    2.355      ✓
    187.39     20.00   1.000   1.000     257.949       0.000    1.027     1.027    3.101      ✓
    228.23     20.00   1.000   1.000     228.630     110.266    1.027     1.144    2.361      ✓
    306.31     15.00   1.000   1.000     194.456     261.371    1.027     1.277    1.755      ✓
    186.99     20.00   1.000   1.000     257.197       0.000    1.030     1.030    3.110      ✓
    228.63     20.00   1.000   1.000     227.878     110.266    1.030     1.148    2.366      ✓
    186.59     20.00   1.000   1.000     256.445       0.000    1.033     1.033    3.120      ✓
    229.03     20.00   1.000   1.000     227.126     110.266    1.033     1.151    2.371      ✓
    306.71     15.00   1.000   1.000     192.674     261.371    1.034     1.286    1.762      ✓
    186.19     20.00   1.000   1.000     255.693       0.000    1.036     1.036    3.129      ✓
    229.43     20.00   1.000   1.000     226.374     110.266    1.036     1.155    2.376      ✓
    185.79     20.00   1.000   1.000     254.941       0.000    1.039     1.039    3.138      ✓
    229.83     20.00   1.000   1.000     225.623     110.266    1.039     1.159    2.382      ✓
    307.11     15.00   1.000   1.000     190.892     261.371    1.041     1.296    1.769      ✓
    185.39     20.00   1.000   1.000     254.190       0.000    1.042     1.042    3.147      ✓
    230.23     20.00   1.000   1.000     224.871     110.266    1.042     1.163    2.387      ✓
    184.98     20.00   1.000   1.000     253.438       0.000    1.045     1.045    3.157      ✓
    230.63     20.00   1.000   1.000     224.119     110.266    1.045     1.166    2.392      ✓
    184.58     20.00   1.000   1.000     252.686       0.000    1.048     1.048    3.166      ✓
    307.51     15.00   1.000   1.000     189.110     261.371    1.048     1.306    1.776      ✓
    231.03     20.00   1.000   1.000     223.367     110.266    1.049     1.170    2.398      ✓
    184.18     20.00   1.000   1.000     251.934       0.000    1.051     1.051    3.175      ✓
    231.43     20.00   1.000   1.000     222.616     110.266    1.052     1.174    2.403      ✓
    183.78     20.00   1.000   1.000     251.183       0.000    1.054     1.054    3.185      ✓
    231.83     20.00   1.000   1.000     221.864     110.266    1.055     1.178    2.409      ✓
    307.91     15.00   1.000   1.000     187.328     261.371    1.056     1.316    1.783      ✓
    183.38     20.00   1.000   1.000     250.431       0.000    1.058     1.058    3.194      ✓
    232.23     20.00   1.000   1.000     221.112     110.266    1.058     1.182    2.414      ✓
    182.98     20.00   1.000   1.000     249.679       0.000    1.061     1.061    3.204      ✓
    232.63     20.00   1.000   1.000     220.360     110.266    1.061     1.186    2.420      ✓
    308.31     15.00   1.000   1.000     185.546     261.371    1.063     1.327    1.790      ✓
    182.58     20.00   1.000   1.000     248.927       0.000    1.064     1.064    3.214      ✓
    233.03     20.00   1.000   1.000     219.609     110.266    1.064     1.190    2.425      ✓
    182.18     20.00   1.000   1.000     248.176       0.000    1.067     1.067    3.224      ✓
    233.43     20.00   1.000   1.000     218.857     110.266    1.068     1.194    2.431      ✓
    181.78     20.00   1.000   1.000     247.424       0.000    1.070     1.070    3.233      ✓
    308.71     15.00   1.000   1.000     183.764     261.371    1.070     1.337    1.797      ✓
    233.83     20.00   1.000   1.000     218.105     110.266    1.071     1.198    2.436      ✓
    181.38     20.00   1.000   1.000     246.672       0.000    1.074     1.074    3.243      ✓
    234.23     20.00   1.000   1.000     217.353     110.266    1.074     1.202    2.442      ✓
    180.98     20.00   1.000   1.000     245.920       0.000    1.077     1.077    3.253      ✓
    234.63     20.00   1.000   1.000     216.602     110.266    1.077     1.206    2.447      ✓
    309.11     15.00   1.000   1.000     181.982     261.371    1.078     1.348    1.804      ✓
    180.58     20.00   1.000   1.000     245.169       0.000    1.080     1.080    3.263      ✓
    235.04     20.00   1.000   1.000     215.850     110.266    1.081     1.210    2.453      ✓
    180.18     20.00   1.000   1.000     244.417       0.000    1.084     1.084    3.273      ✓
    235.44     20.00   1.000   1.000     215.098     110.266    1.084     1.214    2.459      ✓
