================================================================================
AxisForge — Fatigue Stress Analysis — Shaft
================================================================================
Project  : demo_reducer_2stages
Element  : shaft_1
Script   : shaft_1.py
Date     : 2026-05-29 14:59:12
Solver   : StressSolver v1.0
Standard : Shigley 10th ed. §7-4
================================================================================

  Material      : 42CrMo4
  Surface finish: machined
  Reliability   : 99 %
  Sut           : 1000.0 MPa
  Sy            : 800.0 MPa

--------------------------------------------------------------------------------
    x [mm]    d [mm]      Kf     Kfs   σ_a [MPa]   σ_m [MPa]    nf_GM   nf_ASME       ny   Safe
  ----------------------------------------------------------------------------
     99.70     40.00   1.000   1.000      58.632       0.000    4.194     4.194   13.644      ✓
     99.30     40.00   1.000   1.000      58.397       0.000    4.211     4.211   13.699      ✓
     98.90     40.00   1.000   1.000      58.161       0.000    4.228     4.228   13.755      ✓
     98.50     40.00   1.000   1.000      57.926       0.000    4.245     4.245   13.811      ✓
     98.10     40.00   1.000   1.000      57.690       0.000    4.263     4.263   13.867      ✓
     97.70     40.00   1.000   1.000      57.455       0.000    4.280     4.280   13.924      ✓
     97.30     40.00   1.000   1.000      57.219       0.000    4.298     4.298   13.981      ✓
     96.90     40.00   1.000   1.000      56.984       0.000    4.315     4.315   14.039      ✓
     96.50     40.00   1.000   1.000      56.748       0.000    4.333     4.333   14.097      ✓
     96.10     40.00   1.000   1.000      56.513       0.000    4.351     4.351   14.156      ✓
     95.70     40.00   1.000   1.000      56.277       0.000    4.370     4.370   14.215      ✓
     95.30     40.00   1.000   1.000      56.042       0.000    4.388     4.388   14.275      ✓
     94.89     40.00   1.000   1.000      55.806       0.000    4.406     4.406   14.335      ✓
     94.49     40.00   1.000   1.000      55.571       0.000    4.425     4.425   14.396      ✓
     94.09     40.00   1.000   1.000      55.336       0.000    4.444     4.444   14.457      ✓
     93.69     40.00   1.000   1.000      55.100       0.000    4.463     4.463   14.519      ✓
     93.29     40.00   1.000   1.000      54.865       0.000    4.482     4.482   14.581      ✓
     92.89     40.00   1.000   1.000      54.629       0.000    4.501     4.501   14.644      ✓
     92.49     40.00   1.000   1.000      54.394       0.000    4.521     4.521   14.708      ✓
     92.09     40.00   1.000   1.000      54.158       0.000    4.541     4.541   14.772      ✓
     91.69     40.00   1.000   1.000      53.923       0.000    4.560     4.560   14.836      ✓
     91.29     40.00   1.000   1.000      53.687       0.000    4.580     4.580   14.901      ✓
     90.89     40.00   1.000   1.000      53.452       0.000    4.601     4.601   14.967      ✓
     90.49     40.00   1.000   1.000      53.216       0.000    4.621     4.621   15.033      ✓
     90.09     40.00   1.000   1.000      52.981       0.000    4.641     4.641   15.100      ✓
     89.69     40.00   1.000   1.000      52.745       0.000    4.662     4.662   15.167      ✓
     89.29     40.00   1.000   1.000      52.510       0.000    4.683     4.683   15.235      ✓
     88.89     40.00   1.000   1.000      52.274       0.000    4.704     4.704   15.304      ✓
     88.49     40.00   1.000   1.000      52.039       0.000    4.725     4.725   15.373      ✓
     88.09     40.00   1.000   1.000      51.803       0.000    4.747     4.747   15.443      ✓
     87.69     40.00   1.000   1.000      51.568       0.000    4.769     4.769   15.513      ✓
     87.29     40.00   1.000   1.000      51.333       0.000    4.790     4.790   15.585      ✓
     86.89     40.00   1.000   1.000      51.097       0.000    4.813     4.813   15.656      ✓
     86.49     40.00   1.000   1.000      50.862       0.000    4.835     4.835   15.729      ✓
     86.09     40.00   1.000   1.000      50.626       0.000    4.857     4.857   15.802      ✓
     85.69     40.00   1.000   1.000      50.391       0.000    4.880     4.880   15.876      ✓
     85.29     40.00   1.000   1.000      50.155       0.000    4.903     4.903   15.950      ✓
     84.88     40.00   1.000   1.000      49.920       0.000    4.926     4.926   16.026      ✓
    150.15     50.00   1.000   1.000      45.138      14.114    4.948     5.296   13.502      ✓
     84.48     40.00   1.000   1.000      49.684       0.000    4.949     4.949   16.102      ✓
    150.55     50.00   1.000   1.000      45.066      14.114    4.955     5.305   13.518      ✓
    150.95     50.00   1.000   1.000      44.993      14.114    4.963     5.313   13.535      ✓
    151.35     50.00   1.000   1.000      44.921      14.114    4.970     5.321   13.551      ✓
     84.08     40.00   1.000   1.000      49.449       0.000    4.973     4.973   16.178      ✓
    151.75     50.00   1.000   1.000      44.849      14.114    4.978     5.330   13.568      ✓
    152.15     50.00   1.000   1.000      44.776      14.114    4.985     5.339   13.585      ✓
    152.55     50.00   1.000   1.000      44.704      14.114    4.993     5.347   13.601      ✓
     83.68     40.00   1.000   1.000      49.213       0.000    4.997     4.997   16.256      ✓
    152.95     50.00   1.000   1.000      44.632      14.114    5.000     5.356   13.618      ✓
    153.35     50.00   1.000   1.000      44.559      14.114    5.008     5.364   13.635      ✓
    153.75     50.00   1.000   1.000      44.487      14.114    5.015     5.373   13.652      ✓
     83.28     40.00   1.000   1.000      48.978       0.000    5.021     5.021   16.334      ✓
    154.15     50.00   1.000   1.000      44.415      14.114    5.023     5.382   13.669      ✓
    154.55     50.00   1.000   1.000      44.342      14.114    5.030     5.390   13.685      ✓
    154.95     50.00   1.000   1.000      44.270      14.114    5.038     5.399   13.702      ✓
     82.88     40.00   1.000   1.000      48.742       0.000    5.045     5.045   16.413      ✓
    155.36     50.00   1.000   1.000      44.198      14.114    5.046     5.408   13.719      ✓
    155.76     50.00   1.000   1.000      44.125      14.114    5.053     5.417   13.736      ✓
    156.16     50.00   1.000   1.000      44.053      14.114    5.061     5.425   13.754      ✓
    156.56     50.00   1.000   1.000      43.981      14.114    5.069     5.434   13.771      ✓
     82.48     40.00   1.000   1.000      48.507       0.000    5.070     5.070   16.492      ✓
    156.96     50.00   1.000   1.000      43.908      14.114    5.077     5.443   13.788      ✓
    157.36     50.00   1.000   1.000      43.836      14.114    5.084     5.452   13.805      ✓
    157.76     50.00   1.000   1.000      43.764      14.114    5.092     5.461   13.822      ✓
     82.08     40.00   1.000   1.000      48.271       0.000    5.094     5.094   16.573      ✓
    158.16     50.00   1.000   1.000      43.691      14.114    5.100     5.470   13.840      ✓
    158.56     50.00   1.000   1.000      43.619      14.114    5.108     5.479   13.857      ✓
    158.96     50.00   1.000   1.000      43.547      14.114    5.116     5.488   13.874      ✓
     81.68     40.00   1.000   1.000      48.036       0.000    5.119     5.119   16.654      ✓
    159.36     50.00   1.000   1.000      43.474      14.114    5.124     5.497   13.892      ✓
    159.76     50.00   1.000   1.000      43.402      14.114    5.131     5.506   13.909      ✓
    160.16     50.00   1.000   1.000      43.330      14.114    5.139     5.515   13.927      ✓
     81.28     40.00   1.000   1.000      47.800       0.000    5.144     5.144   16.736      ✓
    160.56     50.00   1.000   1.000      43.257      14.114    5.147     5.524   13.944      ✓
    160.96     50.00   1.000   1.000      43.185      14.114    5.155     5.533   13.962      ✓
    161.36     50.00   1.000   1.000      43.113      14.114    5.163     5.543   13.980      ✓
     80.88     40.00   1.000   1.000      47.565       0.000    5.170     5.170   16.819      ✓
    161.76     50.00   1.000   1.000      43.040      14.114    5.171     5.552   13.997      ✓
    162.16     50.00   1.000   1.000      42.968      14.114    5.180     5.561   14.015      ✓
    162.56     50.00   1.000   1.000      42.896      14.114    5.188     5.570   14.033      ✓
     80.48     40.00   1.000   1.000      47.330       0.000    5.196     5.196   16.903      ✓
    162.96     50.00   1.000   1.000      42.823      14.114    5.196     5.580   14.051      ✓
    163.36     50.00   1.000   1.000      42.751      14.114    5.204     5.589   14.068      ✓
    163.76     50.00   1.000   1.000      42.679      14.114    5.212     5.598   14.086      ✓
    164.16     50.00   1.000   1.000      42.606      14.114    5.220     5.608   14.104      ✓
     80.08     40.00   1.000   1.000      47.094       0.000    5.222     5.222   16.987      ✓
    164.56     50.00   1.000   1.000      42.534      14.114    5.228     5.617   14.122      ✓
    164.96     50.00   1.000   1.000      42.462      14.114    5.237     5.627   14.140      ✓
    165.37     50.00   1.000   1.000      42.389      14.114    5.245     5.636   14.158      ✓
     79.68     40.00   1.000   1.000      46.859       0.000    5.248     5.248   17.073      ✓
    165.77     50.00   1.000   1.000      42.317      14.114    5.253     5.646   14.177      ✓
    166.17     50.00   1.000   1.000      42.245      14.114    5.262     5.655   14.195      ✓
    166.57     50.00   1.000   1.000      42.172      14.114    5.270     5.665   14.213      ✓
     79.28     40.00   1.000   1.000      46.623       0.000    5.274     5.274   17.159      ✓
    166.97     50.00   1.000   1.000      42.100      14.114    5.278     5.675   14.231      ✓
    167.37     50.00   1.000   1.000      42.028      14.114    5.287     5.684   14.250      ✓
    167.77     50.00   1.000   1.000      41.955      14.114    5.295     5.694   14.268      ✓
     78.88     40.00   1.000   1.000      46.388       0.000    5.301     5.301   17.246      ✓
    168.17     50.00   1.000   1.000      41.883      14.114    5.304     5.704   14.287      ✓
    168.57     50.00   1.000   1.000      41.811      14.114    5.312     5.713   14.305      ✓
    168.97     50.00   1.000   1.000      41.738      14.114    5.321     5.723   14.324      ✓
    149.75     50.00   1.000   1.000      45.090       0.000    5.325     5.325   17.742      ✓
     78.48     40.00   1.000   1.000      46.152       0.000    5.328     5.328   17.334      ✓
    169.37     50.00   1.000   1.000      41.666      14.114    5.329     5.733   14.342      ✓
    169.77     50.00   1.000   1.000      41.593      14.114    5.338     5.743   14.361      ✓
    149.35     50.00   1.000   1.000      44.969       0.000    5.339     5.339   17.790      ✓
    170.17     50.00   1.000   1.000      41.521      14.114    5.346     5.753   14.379      ✓
    148.95     50.00   1.000   1.000      44.849       0.000    5.354     5.354   17.838      ✓
    170.57     50.00   1.000   1.000      41.449      14.114    5.355     5.763   14.398      ✓
     78.08     40.00   1.000   1.000      45.917       0.000    5.356     5.356   17.423      ✓
    170.97     50.00   1.000   1.000      41.376      14.114    5.364     5.773   14.417      ✓
    148.55     50.00   1.000   1.000      44.728       0.000    5.368     5.368   17.886      ✓
    171.37     50.00   1.000   1.000      41.304      14.114    5.372     5.783   14.436      ✓
    171.77     50.00   1.000   1.000      41.232      14.114    5.381     5.793   14.455      ✓
    148.15     50.00   1.000   1.000      44.608       0.000    5.383     5.383   17.934      ✓
     77.68     40.00   1.000   1.000      45.681       0.000    5.383     5.383   17.513      ✓
    172.17     50.00   1.000   1.000      41.159      14.114    5.390     5.803   14.473      ✓
    147.75     50.00   1.000   1.000      44.487       0.000    5.397     5.397   17.983      ✓
    172.57     50.00   1.000   1.000      41.087      14.114    5.399     5.813   14.492      ✓
    172.97     50.00   1.000   1.000      41.015      14.114    5.407     5.823   14.511      ✓
     77.28     40.00   1.000   1.000      45.446       0.000    5.411     5.411   17.603      ✓
    147.35     50.00   1.000   1.000      44.366       0.000    5.412     5.412   18.032      ✓
    173.37     50.00   1.000   1.000      40.942      14.114    5.416     5.833   14.531      ✓
    173.77     50.00   1.000   1.000      40.870      14.114    5.425     5.844   14.550      ✓
    146.95     50.00   1.000   1.000      44.246       0.000    5.427     5.427   18.081      ✓
    174.17     50.00   1.000   1.000      40.798      14.114    5.434     5.854   14.569      ✓
     76.88     40.00   1.000   1.000      45.210       0.000    5.439     5.439   17.695      ✓
    146.55     50.00   1.000   1.000      44.125       0.000    5.441     5.441   18.130      ✓
    174.57     50.00   1.000   1.000      40.725      14.114    5.443     5.864   14.588      ✓
    174.97     50.00   1.000   1.000      40.653      14.114    5.452     5.874   14.607      ✓
    146.15     50.00   1.000   1.000      44.005       0.000    5.456     5.456   18.180      ✓
    175.38     50.00   1.000   1.000      40.581      14.114    5.461     5.885   14.627      ✓
     76.48     40.00   1.000   1.000      44.975       0.000    5.468     5.468   17.788      ✓
    175.78     50.00   1.000   1.000      40.508      14.114    5.470     5.895   14.646      ✓
    145.75     50.00   1.000   1.000      43.884       0.000    5.471     5.471   18.230      ✓
    176.18     50.00   1.000   1.000      40.436      14.114    5.479     5.906   14.665      ✓
    145.35     50.00   1.000   1.000      43.764       0.000    5.486     5.486   18.280      ✓
    176.58     50.00   1.000   1.000      40.364      14.114    5.488     5.916   14.685      ✓
     76.08     40.00   1.000   1.000      44.739       0.000    5.496     5.496   17.881      ✓
    176.98     50.00   1.000   1.000      40.291      14.114    5.497     5.927   14.704      ✓
    144.94     50.00   1.000   1.000      43.643       0.000    5.502     5.502   18.331      ✓
    177.38     50.00   1.000   1.000      40.219      14.114    5.506     5.937   14.724      ✓
    177.78     50.00   1.000   1.000      40.147      14.114    5.515     5.948   14.744      ✓
    144.54     50.00   1.000   1.000      43.522       0.000    5.517     5.517   18.381      ✓
    178.18     50.00   1.000   1.000      40.074      14.114    5.524     5.958   14.763      ✓
     75.68     40.00   1.000   1.000      44.504       0.000    5.526     5.526   17.976      ✓
    144.14     50.00   1.000   1.000      43.402       0.000    5.532     5.532   18.432      ✓
    178.58     50.00   1.000   1.000      40.002      14.114    5.534     5.969   14.783      ✓
    178.98     50.00   1.000   1.000      39.930      14.114    5.543     5.980   14.803      ✓
    143.74     50.00   1.000   1.000      43.281       0.000    5.548     5.548   18.484      ✓
    179.38     50.00   1.000   1.000      39.857      14.114    5.552     5.990   14.823      ✓
     75.28     40.00   1.000   1.000      44.268       0.000    5.555     5.555   18.072      ✓
    179.78     50.00   1.000   1.000      39.785      14.114    5.561     6.001   14.843      ✓
    143.34     50.00   1.000   1.000      43.161       0.000    5.563     5.563   18.535      ✓
    180.18     50.00   1.000   1.000      39.713      14.114    5.571     6.012   14.862      ✓
    142.94     50.00   1.000   1.000      43.040       0.000    5.579     5.579   18.587      ✓
    180.58     50.00   1.000   1.000      39.640      14.114    5.580     6.023   14.882      ✓
     74.87     40.00   1.000   1.000      44.033       0.000    5.585     5.585   18.168      ✓
    180.98     50.00   1.000   1.000      39.568      14.114    5.589     6.034   14.903      ✓
    142.54     50.00   1.000   1.000      42.920       0.000    5.594     5.594   18.639      ✓
    181.38     50.00   1.000   1.000      39.496      14.114    5.599     6.045   14.923      ✓
    181.78     50.00   1.000   1.000      39.423      14.114    5.608     6.056   14.943      ✓
    142.14     50.00   1.000   1.000      42.799       0.000    5.610     5.610   18.692      ✓
     74.47     40.00   1.000   1.000      43.797       0.000    5.615     5.615   18.266      ✓
    182.18     50.00   1.000   1.000      39.351      14.114    5.618     6.067   14.963      ✓
    141.74     50.00   1.000   1.000      42.679       0.000    5.626     5.626   18.745      ✓
    182.58     50.00   1.000   1.000      39.279      14.114    5.627     6.078   14.983      ✓
    182.98     50.00   1.000   1.000      39.206      14.114    5.637     6.089   15.004      ✓
    141.34     50.00   1.000   1.000      42.558       0.000    5.642     5.642   18.798      ✓
     74.07     40.00   1.000   1.000      43.562       0.000    5.645     5.645   18.365      ✓
    183.38     50.00   1.000   1.000      39.134      14.114    5.647     6.100   15.024      ✓
    183.78     50.00   1.000   1.000      39.062      14.114    5.656     6.111   15.044      ✓
    140.94     50.00   1.000   1.000      42.437       0.000    5.658     5.658   18.851      ✓
    184.18     50.00   1.000   1.000      38.989      14.114    5.666     6.122   15.065      ✓
    140.54     50.00   1.000   1.000      42.317       0.000    5.674     5.674   18.905      ✓
    184.58     50.00   1.000   1.000      38.917      14.114    5.675     6.133   15.085      ✓
     73.67     40.00   1.000   1.000      43.327       0.000    5.676     5.676   18.464      ✓
    184.98     50.00   1.000   1.000      38.845      14.114    5.685     6.145   15.106      ✓
    140.14     50.00   1.000   1.000      42.196       0.000    5.690     5.690   18.959      ✓
    185.39     50.00   1.000   1.000      38.772      14.114    5.695     6.156   15.127      ✓
    185.79     50.00   1.000   1.000      38.700      14.114    5.705     6.167   15.147      ✓
    139.74     50.00   1.000   1.000      42.076       0.000    5.707     5.707   19.013      ✓
     73.27     40.00   1.000   1.000      43.091       0.000    5.707     5.707   18.565      ✓
    186.19     50.00   1.000   1.000      38.628      14.114    5.715     6.179   15.168      ✓
    139.34     50.00   1.000   1.000      41.955       0.000    5.723     5.723   19.068      ✓
    186.59     50.00   1.000   1.000      38.555      14.114    5.724     6.190   15.189      ✓
    186.99     50.00   1.000   1.000      38.483      14.114    5.734     6.202   15.210      ✓
     72.87     40.00   1.000   1.000      42.856       0.000    5.738     5.738   18.667      ✓
